model,n_responses,mean_coherence,std_coherence,min_coherence,max_coherence,n_cycles_detected,mean_cycles
gpt-3.5-turbo,198,0.5648166199061826,0.10589773852915702,0.4114304920742605,0.9777220443696993,10,0.6
gpt-3.5-turbo,199,0.558359477025243,0.08978037526587485,0.36558323673594323,0.9454685173486619,10,1.1
claude-3-haiku-20240307,541,0.5547916130718904,0.09824009037669362,0.3720743910355594,0.9694731100438654,30,0.6666666666666666
gpt-3.5-turbo,595,0.555602837522871,0.09595821430166443,0.3374824129353345,0.9697977627713998,30,0.7666666666666667
gpt-3.5-turbo,396,0.5600515781508923,0.09956993051311062,0.3606445135115456,0.9853744704253157,20,0.9
claude-3-haiku-20240307,877,0.5589356472814252,0.10039532663581396,0.38195329748123497,1.0,49,0.4897959183673469
gemini-1.5-flash,2,0.6602946238363283,0.23216532962194025,0.42812929421438806,0.8924599534582686,0,0.0
gpt-3.5-turbo,791,0.5574178484586019,0.10217331382927326,0.27871378826651244,1.0,40,0.525
claude-3-haiku-20240307,877,0.5548889165740231,0.09870118022169398,0.3199323802346958,0.9758142419819864,48,0.7291666666666666
gpt-3.5-turbo,989,0.5617980815397289,0.09747575575319034,0.32178947443161776,0.9919687940674705,50,0.76
gpt-3.5-turbo,199,0.5654441934334363,0.09624553722689141,0.3772228631462405,0.990995877810452,10,1.3
claude-3-haiku-20240307,144,0.5521840683778447,0.10575916812433857,0.3443227771170182,0.9438920285621492,10,0.4
claude-3-haiku-20240307,144,0.5642132263206227,0.10520423687925423,0.3689331971743592,0.9904211634629603,10,0.1
claude-3-haiku-20240307,380,0.5542196321268187,0.09417844845144016,0.38985032975250733,0.942633743493975,20,0.7
gemini-1.5-flash,2,0.7828243403151891,0.16873444240539753,0.6140898979097915,0.9515587827205866,0,0.0
claude-3-haiku-20240307,191,0.5563000241001334,0.09976752333557005,0.34583443832768856,0.9860774621009636,10,0.3
gpt-3.5-turbo,989,0.5575692638133516,0.09731007982355509,0.33453321187106794,1.0,50,0.64
claude-3-haiku-20240307,713,0.5561048599695886,0.10143878567343047,0.3305143358920146,0.9935029091339858,40,0.525
